Index, Start Node, End Node, Force, Stress, Area, Cluster No., MaxStress
75,1,19,-94455.76419685218,-291530136.4100376,0.000324,1,530000000
76,2,20,-68542.53164124329,-211551023.5840842,0.000324,5,530000000
77,6,25,-46811.14979407522,-325077429.1255224,0.000144,3,530000000
78,7,26,-15323.022684940146,-312714748.6722479,4.9e-05,0,530000000
79,8,27,16165.10442419474,329900090.2896886,4.9e-05,0,530000000
80,9,28,47653.23153332971,330925218.9814563,0.000144,3,530000000
81,14,36,73703.99990857368,227481481.19930148,0.000324,5,530000000
82,15,37,101344.66541952621,312792177.22075987,0.000324,1,530000000
83,4,22,-95012.09183441874,-293247197.0198109,0.000324,1,530000000
84,5,23,-69098.85927880972,-213268084.19385713,0.000324,5,530000000
85,10,31,-47654.38131532067,-330933203.5786158,0.000144,3,530000000
86,11,32,-16166.254206185802,-329923555.2282817,4.9e-05,0,530000000
87,12,33,15321.87290294921,312691283.73365736,4.9e-05,0,530000000
88,13,34,46810.00001208411,325069444.52836186,0.000144,3,530000000
89,16,39,73110.58624968382,225649957.56075254,0.000324,5,530000000
90,17,40,100751.25176063583,310960653.58220935,0.000324,1,530000000
91,2,24,-2043.1830302816154,-41697612.86289011,4.9e-05,4,530000000
92,9,29,-2155.8086923426067,-43996095.76209401,4.9e-05,4,530000000
93,5,30,-2155.6168237785164,-43992180.07711258,4.9e-05,4,530000000
94,13,35,-2043.374898845613,-41701528.54786965,4.9e-05,4,530000000
95,0,18,0.0,0.0,4.9e-05,4,530000000
96,3,21,0.0,0.0,4.9e-05,4,530000000
97,15,38,0.0,0.0,4.9e-05,4,530000000
98,17,41,0.0,0.0,4.9e-05,4,530000000
99,0,4,256.5701382474059,5236125.270355223,4.9e-05,4,530000000
100,2,4,-256.5701382474119,-5236125.270355345,4.9e-05,4,530000000
101,2,10,271.7093855326446,5545089.500666216,4.9e-05,4,530000000
102,7,10,-271.7093855326549,-5545089.5006664265,4.9e-05,4,530000000
103,7,12,271.709385532654,5545089.500666408,4.9e-05,4,530000000
104,9,12,-271.70938553265773,-5545089.500666484,4.9e-05,4,530000000
105,9,16,256.57013824742234,5236125.270355558,4.9e-05,4,530000000
106,15,16,-256.5701382474303,-5236125.270355721,4.9e-05,4,530000000
107,19,21,976.3259438530313,19925019.26230676,4.9e-05,4,530000000
108,19,23,-1190.8128577794876,-24302303.219989542,4.9e-05,4,530000000
109,23,24,976.325943853031,19925019.262306757,4.9e-05,4,530000000
110,24,31,-998.1398414926894,-20370200.84678958,4.9e-05,4,530000000
111,26,31,1261.0782847987991,25736291.526506104,4.9e-05,4,530000000
112,26,33,-1261.0782847987928,-25736291.526505977,4.9e-05,4,530000000
113,28,33,1261.0782847987957,25736291.526506037,4.9e-05,4,530000000
114,28,35,-998.1398414926872,-20370200.846789535,4.9e-05,4,530000000
115,35,36,976.3259438530304,19925019.262306742,4.9e-05,4,530000000
116,36,40,-1190.8128577794814,-24302303.21998942,4.9e-05,4,530000000
117,38,40,976.325943853025,19925019.262306634,4.9e-05,4,530000000
