Index, Start Node, End Node, Force, Stress, Area, Max Stress
83,4,22,-95065.48493059172,-293411990.5265176,0.000324,530000000
84,5,23,-68932.65791836106,-306367368.52604914,0.000225,530000000
85,10,31,-47594.819635871434,-330519580.8046627,0.000144,530000000
86,11,32,-15896.838473167218,-158968384.73167217,0.0001,530000000
87,12,33,15814.30570358549,158143057.0358549,0.0001,530000000
88,13,34,47482.35040953771,329738544.5106785,0.000144,530000000
89,16,39,73476.65127726045,326562894.565602,0.000225,530000000
90,17,40,101398.2827095077,312957662.6836657,0.000324,530000000
91,2,24,-1829.3190561465692,-203257672.90517434,9e-06,530000000
92,9,29,-1860.3244901305227,-206702721.12561363,9e-06,530000000
93,5,30,-1860.2115055339352,-206690167.28154835,9e-06,530000000
94,13,35,-1829.3050629085462,-203256118.1009496,9e-06,530000000
95,0,18,0.0,0.0,9e-06,530000000
96,3,21,0.0,0.0,9e-06,530000000
97,15,38,0.0,0.0,9e-06,530000000
98,17,41,0.0,0.0,9e-06,530000000
99,0,4,18.999167663696777,2111018.629299642,9e-06,530000000
100,2,4,-18.999167663697147,-2111018.629299683,9e-06,530000000
101,2,10,20.120237712765064,2235581.9680850073,9e-06,530000000
102,7,10,-20.120237712763338,-2235581.9680848154,9e-06,530000000
103,7,12,20.120237712763856,2235581.9680848727,9e-06,530000000
104,9,12,-20.120237712764375,-2235581.9680849304,9e-06,530000000
105,9,16,18.99916766369646,2111018.6292996067,9e-06,530000000
106,15,16,-18.99916766369719,-2111018.6292996877,9e-06,530000000
107,19,21,244.2208400114556,27135648.890161734,9e-06,530000000
108,19,23,-297.8731828795147,-33097020.319946077,9e-06,530000000
109,23,24,244.22084001145467,27135648.89016163,9e-06,530000000
110,24,31,-249.67742798704003,-27741936.443004448,9e-06,530000000
111,26,31,315.4495688379744,35049952.09310827,9e-06,530000000
112,26,33,-315.4495688379752,-35049952.093108356,9e-06,530000000
113,28,33,315.44956883797437,35049952.09310826,9e-06,530000000
114,28,35,-249.67742798704043,-27741936.443004493,9e-06,530000000
115,35,36,244.22084001145527,27135648.890161697,9e-06,530000000
116,36,40,-297.8731828795157,-33097020.31994619,9e-06,530000000
117,38,40,244.22084001145595,27135648.89016177,9e-06,530000000
